,tissueID,sampleDescription,vesselSerialNumber,fishNumber,repID,water,dateCollected,year,lattitude_decDeg,longitude_decDeg,site,siteDepthCode,stationDepth_m,depthCollect_m,sampleDepthMin_m,sampleDepthMax_m,waterLayerSampled,DCLdepth,thermoclineDepth_m,epilimnionDepth_m,hypolimnionDepth_m,collectionGear,collectionGearMesh_um,numberIndividualsCombined,individualSize_mm,individualSizeMax_mm,individualSizeMin_mm,tissueType,preservationMethod,lipidExtraction,acidifiedUnacidified,wellID,laboratory,equipment,sampleAmount_mg,areaN,percentN,areaN28,amplitudeN28,delta15N,TEF_N,TEF_C_SD,areaC,percentC,areaC45,amplitudeC45,delta13C,TEF_C,TEF_C_SD.1,H2amp,percentH,del2H,sd_delta2H,analysisFacility,equipmentUsed,analysisDate,analysisTime,Flag,Comment,Comment2,Group
244,062409 CL4,Periphyton (Cladophora),,,,Lake Ontario,6/24/2009,2009,NA,NA,#N/A,,NA,,,,,NA,NA,0,0,,,,NA,NA,NA,scraped_dried,,no,Unacidified,,Cornell,Thermo Delta V IRMS to NC2500,3.117,NA,3.5,NA,4429,5.793,3.4,0.74,NA,42.5,NA,"6,881",-14.724,0.4,0.63,NA,NA,NA,NA,NA,,,,NA,frozen_noEthanolDried,,Baseline
246,062409 CL2,Periphyton (Cladophora),,,,Lake Ontario,6/24/2009,2009,NA,NA,#N/A,,NA,,,,,NA,NA,0,0,,,,NA,NA,NA,scraped_dried,,no,Unacidified,,Cornell,Thermo Delta V IRMS to NC2500,3.082,NA,3.4,NA,4366,5.821,3.4,0.74,NA,42.2,NA,"6,811",-14.851,0.4,0.63,NA,NA,NA,NA,NA,,,,NA,frozen_noEthanolDried,,Baseline
248,073009 CL6,Periphyton (Cladophora),,,,Lake Ontario,7/30/2009,2009,NA,NA,#N/A,,NA,,,,,NA,NA,0,0,,,,NA,NA,NA,scraped_dried,,no,Unacidified,,Cornell,Thermo Delta V IRMS to NC2500,3.076,NA,3,NA,3489,6.525,3.4,0.74,NA,30.5,NA,"5,191",-15.603,0.4,0.63,NA,NA,NA,NA,NA,,,,NA,frozen_noEthanolDried,,Baseline
250,073009 CL1,Periphyton (Cladophora),,,,Lake Ontario,7/30/2009,2009,NA,NA,#N/A,,NA,,,,,NA,NA,0,0,,,,NA,NA,NA,scraped_dried,,no,Unacidified,,Cornell,Thermo Delta V IRMS to NC2500,2.977,NA,2.7,NA,3013,6.53,3.4,0.74,NA,25.8,NA,"4,323",-15.517,0.4,0.63,NA,NA,NA,NA,NA,,,,NA,frozen_noEthanolDried,,Baseline
252,073009 CL2,Periphyton (Cladophora),,,,Lake Ontario,7/30/2009,2009,NA,NA,#N/A,,NA,,,,,NA,NA,0,0,,,,NA,NA,NA,scraped_dried,,no,Unacidified,,Cornell,Thermo Delta V IRMS to NC2500,3.077,NA,2.6,NA,3134,6.611,3.4,0.74,NA,27.5,NA,"4,770",-15.372,0.4,0.63,NA,NA,NA,NA,NA,,,,NA,frozen_noEthanolDried,,Baseline
254,073009 CL5,Periphyton (Cladophora),,,,Lake Ontario,7/30/2009,2009,NA,NA,#N/A,,NA,,,,,NA,NA,0,0,,,,NA,NA,NA,scraped_dried,,no,Unacidified,,Cornell,Thermo Delta V IRMS to NC2500,3.003,NA,2.6,NA,3014,6.685,3.4,0.74,NA,26.9,NA,"4,553",-15.18,0.4,0.63,NA,NA,NA,NA,NA,,,,NA,frozen_noEthanolDried,,Baseline
256,073009 CL4,Periphyton (Cladophora),,,,Lake Ontario,7/30/2009,2009,NA,NA,#N/A,,NA,,,,,NA,NA,0,0,,,,NA,NA,NA,scraped_dried,,no,Unacidified,,Cornell,Thermo Delta V IRMS to NC2500,2.914,NA,2.7,NA,2983,6.781,3.4,0.74,NA,27.3,NA,"4,443",-15.134,0.4,0.63,NA,NA,NA,NA,NA,,,,NA,frozen_noEthanolDried,,Baseline
258,073009 CL3,Periphyton (Cladophora),,,,Lake Ontario,7/30/2009,2009,NA,NA,#N/A,,NA,,,,,NA,NA,0,0,,,,NA,NA,NA,scraped_dried,,no,Unacidified,,Cornell,Thermo Delta V IRMS to NC2500,2.928,NA,2.7,NA,3138,6.827,3.4,0.74,NA,27.9,NA,"4,635",-14.858,0.4,0.63,NA,NA,NA,NA,NA,,,,NA,frozen_noEthanolDried,,Baseline
260,081909 PP4,POC (phyto),,,,Lake Ontario,8/19/2009,2009,NA,NA,#N/A,,NA,,,,,NA,NA,0,0,,,,NA,NA,NA,integratedPump_prefilter200um_precombusted1.5umfilter_frozen,,no,Unacidified,,Cornell,Thermo Delta V IRMS to NC2500,1,NA,2.7,NA,978,3.714,3.4,0.74,NA,17.8,NA,"1,046",-21.834,0.4,0.63,NA,NA,NA,NA,NA,,,,NA,integratedPump_prefilter200um_precombusted1.5umfilter_frozen,,Baseline
262,071509 PP3,POC (phyto),,,,Lake Ontario,7/15/2009,2009,NA,NA,#N/A,,NA,,,,,NA,NA,0,0,,,,NA,NA,NA,integratedPump_prefilter200um_precombusted1.5umfilter_frozen,,no,Unacidified,,Cornell,Thermo Delta V IRMS to NC2500,1,NA,1,NA,371,4.145,3.4,0.74,NA,5.4,NA,328,-25.415,0.4,0.63,NA,NA,NA,NA,NA,,,,NA,integratedPump_prefilter200um_precombusted1.5umfilter_frozen,,Baseline
264,081909 PP5,POC (phyto),,,,Lake Ontario,8/19/2009,2009,NA,NA,#N/A,,NA,,,,,NA,NA,0,0,,,,NA,NA,NA,integratedPump_prefilter200um_precombusted1.5umfilter_frozen,,no,Unacidified,,Cornell,Thermo Delta V IRMS to NC2500,1,NA,2.6,NA,918,4.551,3.4,0.74,NA,16.5,NA,961,-21.738,0.4,0.63,NA,NA,NA,NA,NA,,,,NA,integratedPump_prefilter200um_precombusted1.5umfilter_frozen,,Baseline
266,081909 PP6,POC (phyto),,,,Lake Ontario,8/19/2009,2009,NA,NA,#N/A,,NA,,,,,NA,NA,0,0,,,,NA,NA,NA,integratedPump_prefilter200um_precombusted1.5umfilter_frozen,,no,Unacidified,,Cornell,Thermo Delta V IRMS to NC2500,1,NA,2.7,NA,972,5.114,3.4,0.74,NA,17.2,NA,995,-21.974,0.4,0.63,NA,NA,NA,NA,NA,,,,NA,integratedPump_prefilter200um_precombusted1.5umfilter_frozen,,Baseline
268,081909 PP1,POC (phyto),,,,Lake Ontario,8/19/2009,2009,NA,NA,#N/A,,NA,,,,,NA,NA,0,0,,,,NA,NA,NA,integratedPump_prefilter200um_precombusted1.5umfilter_frozen,,no,Unacidified,,Cornell,Thermo Delta V IRMS to NC2500,1,NA,2.9,NA,1053,5.2,3.4,0.74,NA,18.6,NA,"1,087",-21.847,0.4,0.63,NA,NA,NA,NA,NA,,,,NA,integratedPump_prefilter200um_precombusted1.5umfilter_frozen,,Baseline
270,081909 PP2,POC (phyto),,,,Lake Ontario,8/19/2009,2009,NA,NA,#N/A,,NA,,,,,NA,NA,0,0,,,,NA,NA,NA,integratedPump_prefilter200um_precombusted1.5umfilter_frozen,,no,Unacidified,,Cornell,Thermo Delta V IRMS to NC2500,1,NA,2.1,NA,758,5.266,3.4,0.74,NA,13.5,NA,791,-21.693,0.4,0.63,NA,NA,NA,NA,NA,,,,NA,integratedPump_prefilter200um_precombusted1.5umfilter_frozen,,Baseline
272,081909 PP3,POC (phyto),,,,Lake Ontario,8/19/2009,2009,NA,NA,#N/A,,NA,,,,,NA,NA,0,0,,,,NA,NA,NA,integratedPump_prefilter200um_precombusted1.5umfilter_frozen,,no,Unacidified,,Cornell,Thermo Delta V IRMS to NC2500,1,NA,1.8,NA,658,5.347,3.4,0.74,NA,11.6,NA,686,-21.763,0.4,0.63,NA,NA,NA,NA,NA,,,,NA,integratedPump_prefilter200um_precombusted1.5umfilter_frozen,,Baseline
274,092409 PP1,POC (phyto),,,,Lake Ontario,9/24/2009,2009,NA,NA,#N/A,,NA,,,,,NA,NA,0,0,,,,NA,NA,NA,integratedPump_prefilter200um_precombusted1.5umfilter_frozen,,no,Unacidified,,Cornell,Thermo Delta V IRMS to NC2500,1,NA,1.4,NA,488,5.489,3.4,0.74,NA,9.4,NA,559,-22.764,0.4,0.63,NA,NA,NA,NA,NA,,,,NA,integratedPump_prefilter200um_precombusted1.5umfilter_frozen,,Baseline
276,092409 PP4,POC (phyto),,,,Lake Ontario,9/24/2009,2009,NA,NA,#N/A,,NA,,,,,NA,NA,0,0,,,,NA,NA,NA,integratedPump_prefilter200um_precombusted1.5umfilter_frozen,,no,Unacidified,,Cornell,Thermo Delta V IRMS to NC2500,1,NA,1.1,NA,396,5.676,3.4,0.74,NA,7.2,NA,428,-22.958,0.4,0.63,NA,NA,NA,NA,NA,,,,NA,integratedPump_prefilter200um_precombusted1.5umfilter_frozen,,Baseline
278,092409 PP2,POC (phyto),,,,Lake Ontario,9/24/2009,2009,NA,NA,#N/A,,NA,,,,,NA,NA,0,0,,,,NA,NA,NA,integratedPump_prefilter200um_precombusted1.5umfilter_frozen,,no,Unacidified,,Cornell,Thermo Delta V IRMS to NC2500,1,NA,3,NA,1063,5.733,3.4,0.74,NA,20.2,NA,"1,177",-22.775,0.4,0.63,NA,NA,NA,NA,NA,,,,NA,integratedPump_prefilter200um_precombusted1.5umfilter_frozen,,Baseline
280,071509 PP2,POC (phyto),,,,Lake Ontario,7/15/2009,2009,NA,NA,#N/A,,NA,,,,,NA,NA,0,0,,,,NA,NA,NA,integratedPump_prefilter200um_precombusted1.5umfilter_frozen,,no,Unacidified,,Cornell,Thermo Delta V IRMS to NC2500,1,NA,1.7,NA,630,6.152,3.4,0.74,NA,10.4,NA,614,-25.555,0.4,0.63,NA,NA,NA,NA,NA,,,,NA,integratedPump_prefilter200um_precombusted1.5umfilter_frozen,,Baseline
282,092409 PP6,POC (phyto),,,,Lake Ontario,9/24/2009,2009,NA,NA,#N/A,,NA,,,,,NA,NA,0,0,,,,NA,NA,NA,integratedPump_prefilter200um_precombusted1.5umfilter_frozen,,no,Unacidified,,Cornell,Thermo Delta V IRMS to NC2500,1,NA,1.4,NA,495,6.18,3.4,0.74,NA,9,NA,535,-23.07,0.4,0.63,NA,NA,NA,NA,NA,,,,NA,integratedPump_prefilter200um_precombusted1.5umfilter_frozen,,Baseline
284,092409 PP3,POC (phyto),,,,Lake Ontario,9/24/2009,2009,NA,NA,#N/A,,NA,,,,,NA,NA,0,0,,,,NA,NA,NA,integratedPump_prefilter200um_precombusted1.5umfilter_frozen,,no,Unacidified,,Cornell,Thermo Delta V IRMS to NC2500,1,NA,2.9,NA,1053,6.295,3.4,0.74,NA,19.7,NA,"1,176",-23.156,0.4,0.63,NA,NA,NA,NA,NA,,,,NA,integratedPump_prefilter200um_precombusted1.5umfilter_frozen,,Baseline
286,071509 PP1,POC (phyto),,,,Lake Ontario,7/15/2009,2009,NA,NA,#N/A,,NA,,,,,NA,NA,0,0,,,,NA,NA,NA,integratedPump_prefilter200um_precombusted1.5umfilter_frozen,,no,Unacidified,,Cornell,Thermo Delta V IRMS to NC2500,1,NA,1.6,NA,605,6.413,3.4,0.74,NA,10,NA,593,-25.529,0.4,0.63,NA,NA,NA,NA,NA,,,,NA,integratedPump_prefilter200um_precombusted1.5umfilter_frozen,,Baseline
288,071509 PP4,POC (phyto),,,,Lake Ontario,7/15/2009,2009,NA,NA,#N/A,,NA,,,,,NA,NA,0,0,,,,NA,NA,NA,integratedPump_prefilter200um_precombusted1.5umfilter_frozen,,no,Unacidified,,Cornell,Thermo Delta V IRMS to NC2500,1,NA,2.1,NA,763,6.459,3.4,0.74,NA,11.5,NA,687,-26.493,0.4,0.63,NA,NA,NA,NA,NA,,,,NA,integratedPump_prefilter200um_precombusted1.5umfilter_frozen,,Baseline
290,062409 PP6,POC (phyto),,,,Lake Ontario,6/24/2009,2009,NA,NA,#N/A,,NA,,,,,NA,NA,0,0,,,,NA,NA,NA,integratedPump_prefilter200um_precombusted1.5umfilter_frozen,,no,Unacidified,,Cornell,Thermo Delta V IRMS to NC2500,1,NA,1.9,NA,715,6.638,3.4,0.74,NA,12.4,NA,737,-26.567,0.4,0.63,NA,NA,NA,NA,NA,,,,NA,integratedPump_prefilter200um_precombusted1.5umfilter_frozen,,Baseline
292,071509 PP6,POC (phyto),,,,Lake Ontario,7/15/2009,2009,NA,NA,#N/A,,NA,,,,,NA,NA,0,0,,,,NA,NA,NA,integratedPump_prefilter200um_precombusted1.5umfilter_frozen,,no,Unacidified,,Cornell,Thermo Delta V IRMS to NC2500,1,NA,2,NA,745,6.691,3.4,0.74,NA,11,NA,658,-25.255,0.4,0.63,NA,NA,NA,NA,NA,,,,NA,integratedPump_prefilter200um_precombusted1.5umfilter_frozen,,Baseline
294,062409 PP3,POC (phyto),,,,Lake Ontario,6/24/2009,2009,NA,NA,#N/A,,NA,,,,,NA,NA,0,0,,,,NA,NA,NA,integratedPump_prefilter200um_precombusted1.5umfilter_frozen,,no,Unacidified,,Cornell,Thermo Delta V IRMS to NC2500,1,NA,1.7,NA,635,6.882,3.4,0.74,NA,11,NA,651,-26.532,0.4,0.63,NA,NA,NA,NA,NA,,,,NA,integratedPump_prefilter200um_precombusted1.5umfilter_frozen,,Baseline
296,062409 PP1,POC (phyto),,,,Lake Ontario,6/24/2009,2009,NA,NA,#N/A,,NA,,,,,NA,NA,0,0,,,,NA,NA,NA,integratedPump_prefilter200um_precombusted1.5umfilter_frozen,,no,Unacidified,,Cornell,Thermo Delta V IRMS to NC2500,1,NA,2,NA,766,6.901,3.4,0.74,NA,12.8,NA,759,-26.888,0.4,0.63,NA,NA,NA,NA,NA,,,,NA,integratedPump_prefilter200um_precombusted1.5umfilter_frozen,,Baseline
298,062409 PP5,POC (phyto),,,,Lake Ontario,6/24/2009,2009,NA,NA,#N/A,,NA,,,,,NA,NA,0,0,,,,NA,NA,NA,integratedPump_prefilter200um_precombusted1.5umfilter_frozen,,no,Unacidified,,Cornell,Thermo Delta V IRMS to NC2500,1,NA,2,NA,736,6.928,3.4,0.74,NA,13,NA,771,-26.398,0.4,0.63,NA,NA,NA,NA,NA,,,,NA,integratedPump_prefilter200um_precombusted1.5umfilter_frozen,,Baseline
300,062409 PP2,POC (phyto),,,,Lake Ontario,6/24/2009,2009,NA,NA,#N/A,,NA,,,,,NA,NA,0,0,,,,NA,NA,NA,integratedPump_prefilter200um_precombusted1.5umfilter_frozen,,no,Unacidified,,Cornell,Thermo Delta V IRMS to NC2500,1,NA,1.9,NA,707,7.104,3.4,0.74,NA,12.2,NA,722,-26.728,0.4,0.63,NA,NA,NA,NA,NA,,,,NA,integratedPump_prefilter200um_precombusted1.5umfilter_frozen,,Baseline
302,092409 PP5,POC (phyto),,,,Lake Ontario,9/24/2009,2009,NA,NA,#N/A,,NA,,,,,NA,NA,0,0,,,,NA,NA,NA,integratedPump_prefilter200um_precombusted1.5umfilter_frozen,,no,Unacidified,,Cornell,Thermo Delta V IRMS to NC2500,1,NA,1.7,NA,615,7.352,3.4,0.74,NA,11.2,NA,667,-22.587,0.4,0.63,NA,NA,NA,NA,NA,,,,NA,integratedPump_prefilter200um_precombusted1.5umfilter_frozen,,Baseline
304,062409 PP4,POC (phyto),,,,Lake Ontario,6/24/2009,2009,NA,NA,#N/A,,NA,,,,,NA,NA,0,0,,,,NA,NA,NA,integratedPump_prefilter200um_precombusted1.5umfilter_frozen,,no,Unacidified,,Cornell,Thermo Delta V IRMS to NC2500,1,NA,1.4,NA,529,7.629,3.4,0.74,NA,9.3,NA,555,-26.607,0.4,0.63,NA,NA,NA,NA,NA,,,,NA,integratedPump_prefilter200um_precombusted1.5umfilter_frozen,,Baseline
306,071509 PP5,POC (phyto),,,,Lake Ontario,7/15/2009,2009,NA,NA,#N/A,,NA,,,,,NA,NA,0,0,,,,NA,NA,NA,integratedPump_prefilter200um_precombusted1.5umfilter_frozen,,no,Unacidified,,Cornell,Thermo Delta V IRMS to NC2500,1,NA,1.3,NA,471,8.145,3.4,0.74,NA,6.9,NA,413,-24.936,0.4,0.63,NA,NA,NA,NA,NA,,,,NA,integratedPump_prefilter200um_precombusted1.5umfilter_frozen,,Baseline
342,T0044,Periphyton (Cladophora),,,,Lake Ontario,7/15/2010,2010,43.500092,-76.479084,Alcan,Alcan ,1,0.5,0,1,,NA,NA,0,0,hand,na,unk,NA,NA,NA,scraped_dried,water then dried,no,Unacidified,,Cornell,Thermo Delta V IRMS to NC2500,1.039,NA,4.55,NA,1122,5.32,3.4,0.74,NA,38.74,NA,"2,771",-16.34,0.4,0.63,NA,NA,NA,NA,NA,,,,NA,liveDried,,Baseline
344,T0017,Periphyton (Cladophora),,,,Lake Ontario,6/25/2010,2010,43.500092,-76.479084,Alcan,Alcan ,4,2,0,4,,NA,NA,0,0,unk,unk,unk,NA,NA,NA,scraped_dried,water then dried,no,Unacidified,,Cornell,Thermo Delta V IRMS to NC2500,1.056,NA,3.03,NA,752,5.68,3.4,0.74,NA,33.68,NA,"2,435",-16.9,0.4,0.63,NA,NA,NA,NA,NA,,,,NA,liveDried,,Baseline
346,T0046,Periphyton (Cladophora),,,,Lake Ontario,7/15/2010,2010,43.500092,-76.479084,Alcan,Alcan ,1,0.5,0,1,,NA,NA,0,0,hand,na,unk,NA,NA,NA,scraped_dried,water then dried,no,Unacidified,,Cornell,Thermo Delta V IRMS to NC2500,1.159,NA,4.38,NA,1209,6.31,3.4,0.74,NA,39.65,NA,"3,165",-16.5,0.4,0.63,NA,NA,NA,NA,NA,,,,NA,liveDried,,Baseline
348,T0014,Periphyton (Cladophora),,,,Lake Ontario,6/25/2010,2010,43.500092,-76.479084,Alcan,Alcan ,4,2,0,4,,NA,NA,0,0,unk,unk,unk,NA,NA,NA,scraped_dried,water then dried,no,Unacidified,,Cornell,Thermo Delta V IRMS to NC2500,1.05,NA,3.56,NA,881,6.46,3.4,0.74,NA,32.36,NA,"2,327",-17.69,0.4,0.63,NA,NA,NA,NA,NA,,,,NA,liveDried,,Baseline
350,T0016,Periphyton (Cladophora),,,,Lake Ontario,6/25/2010,2010,43.500092,-76.479084,Alcan,Alcan ,4,2,0,4,,NA,NA,0,0,unk,unk,unk,NA,NA,NA,scraped_dried,water then dried,no,Unacidified,,Cornell,Thermo Delta V IRMS to NC2500,0.903,NA,3.52,NA,745,6.5,3.4,0.74,NA,35.6,NA,"2,193",-17.38,0.4,0.63,NA,NA,NA,NA,NA,,,,NA,liveDried,,Baseline
352,T0047,Periphyton (Cladophora),,,,Lake Ontario,7/15/2010,2010,43.500092,-76.479084,Alcan,Alcan ,1,0.5,0,1,,NA,NA,0,0,hand,na,unk,NA,NA,NA,scraped_dried,water then dried,no,Unacidified,,Cornell,Thermo Delta V IRMS to NC2500,1.095,NA,4.58,NA,1192,6.57,3.4,0.74,NA,37.75,NA,"2,857",-16.57,0.4,0.63,NA,NA,NA,NA,NA,,,,NA,liveDried,,Baseline
354,T0045,Periphyton (Cladophora),,,,Lake Ontario,7/15/2010,2010,43.500092,-76.479084,Alcan,Alcan ,8,4,0,8,,NA,NA,0,0,unk,unk,unk,NA,NA,NA,scraped_dried,water then dried,no,Unacidified,,Cornell,Thermo Delta V IRMS to NC2500,1.018,NA,2.63,NA,634,7.45,3.4,0.74,NA,34.01,NA,"2,397",-18.02,0.4,0.63,NA,NA,NA,NA,NA,,,,NA,liveDried,,Baseline
356,T0015,Periphyton (Cladophora),,,,Lake Ontario,6/25/2010,2010,43.500092,-76.479084,Alcan,Alcan ,4,2,0,4,,NA,NA,0,0,unk,unk,unk,NA,NA,NA,scraped_dried,water then dried,no,Unacidified,,Cornell,Thermo Delta V IRMS to NC2500,1.005,NA,3.65,NA,859,7.68,3.4,0.74,NA,29.69,NA,"2,042",-17.18,0.4,0.63,NA,NA,NA,NA,NA,,,,NA,liveDried,,Baseline
400,T0408,super hume,,,1,Lake Ontario,10/31/2010,2010,NA,NA,Florida swamps,,NA,,,,,NA,NA,NA,NA,,,,NA,NA,NA,,,no,,,Cornell,Thermo Delta V IRMS to NC2500,,0.198,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,1991,2.54,-129.17,NA,NA,,,,NA,,,Baseline
402,T0409,super hume,,,2,Lake Ontario,10/31/2010,2010,NA,NA,Florida swamps,,NA,,,,,NA,NA,NA,NA,,,,NA,NA,NA,,,no,,,Cornell,Thermo Delta V IRMS to NC2500,,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,2248,2.78,-128.41,NA,NA,,,,NA,,,Baseline
404,T0404,terrestrial vegetation,,,1,Lake Ontario,10/31/2010,2010,43.463183,-76.517064,LOBS shore,,NA,,,,,NA,NA,NA,NA,,,,NA,NA,NA,,,no,,,Cornell,Thermo Delta V IRMS to NC2500,,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,8543,8.61,-145.83,NA,NA,,,,NA,,,Baseline
406,T0405,terrestrial vegetation,,,2,Lake Ontario,10/31/2010,2010,43.463183,-76.517064,LOBS shore,,NA,,,,,NA,NA,NA,NA,,,,NA,NA,NA,,,no,,,Cornell,Thermo Delta V IRMS to NC2500,,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,6522,7.67,-155.36,NA,NA,,,,NA,,,Baseline
408,T0406,terrestrial vegetation,,,3,Lake Ontario,10/31/2010,2010,43.463183,-76.517064,LOBS shore,,NA,,,,,NA,NA,NA,NA,,,,NA,NA,NA,,,no,,,Cornell,Thermo Delta V IRMS to NC2500,,0.223,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,7026,5.66,-152.18,NA,NA,,,,NA,,,Baseline
410,T0407,terrestrial vegetation,,,4,Lake Ontario,10/31/2010,2010,43.463183,-76.517064,LOBS shore,,NA,,,,,NA,NA,NA,NA,,,,NA,NA,NA,,,no,,,Cornell,Thermo Delta V IRMS to NC2500,,0.194,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,6169,7.51,-147.38,NA,NA,,,,NA,,,Baseline
426,T0001,Periphyton (Cladophora),,,,Lake Ontario,6/9/2010,2010,NA,NA,Nine Mile Point,NMP 25,NA,25,0,0,,NA,NA,25,0,trawl,na,unk,NA,NA,NA,scraped_dried,water then dried,no,Unacidified,,Cornell,Thermo Delta V IRMS to NC2500,0.993,NA,2.55,NA,588,3.71,3.4,0.74,NA,33.6,NA,"2,271",-18.62,0.4,0.63,NA,NA,NA,NA,NA,,,,NA,liveDried,,Baseline
